created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 02 10:35:27 +0000 2023;1730898466363363668;"@liputan6dotcom ganjar jaya";0;0;0;0;in;1510473827469660161;1730855091475992915;mlkhtnkhsnh;https://twitter.com/mlkhtnkhsnh/status/1730898466363363668
Sat Dec 02 10:35:24 +0000 2023;1730898452773851514;"@liputan6dotcom Ganjar menang";0;0;0;0;in;2581713027;1730781607492227102;erbitasihombing;https://twitter.com/erbitasihombing/status/1730898452773851514
Sat Dec 02 10:35:06 +0000 2023;1730898378761109799;"@ganjarpranowo terlihat tingkat toleransi pak ganjar sangat tinggi";0;0;0;0;in;1707783836481052672;1730544659020345533;alfauraangel;https://twitter.com/alfauraangel/status/1730898378761109799
Sat Dec 02 10:34:58 +0000 2023;1730898343612875065;"@PartaiSocmed Saya pilih Jokowi 2x , ya saya kira Jokowi berpihak ke Ganjar, setelah saya pikir2 ternyata bener, saya harus dukung Pak Ganjar.";0;0;0;0;in;1261922012198342657;1730893344367337738;_lakeswara;https://twitter.com/_lakeswara/status/1730898343612875065
Sat Dec 02 10:34:32 +0000 2023;1730898234267336763;"kunjungan pak Ganjar ke desa beji mulyo , sumatera utara  @sipalingganjar #sipalingganjar #GanjarMahfud2024 #MyDemonEp3 #SweetHome2 #FreePalestineFromZionist  2023 Melon Music Awards | AIDS | AESPA BRINGS DRAMA TO MMA https://t.co/475d6UlEv4";0;0;0;2;in;1717490543817871360;1730898234267336763;ivansetiaw31536;https://twitter.com/ivansetiaw31536/status/1730898234267336763
Sat Dec 02 10:34:28 +0000 2023;1730898217448194060;"Waduhhh Bahaya, suara Ganjar Mahmud di Timor bakalan habis ini, tipikal pemilih di pulau Timor itu sangat menghargai Rajanya...🤔";0;1;0;1;in;814055066759876608;1730898217448194060;steryalor;https://twitter.com/steryalor/status/1730898217448194060
Sat Dec 02 10:34:25 +0000 2023;1730898205301465299;"Pak Ganjar dan Pak Mahfud MD memberikan teladan tentang bagaimana pemimpin seharusnya peduli terhadap masa depan pendidikan dan generasi muda. Semoga terus sukses! @MrRiyaz14  GPMMD 4Ende https://t.co/63Hzzwkv2b";0;0;0;0;in;1688476623249850368;1730898205301465299;AjieDidie23547;https://twitter.com/AjieDidie23547/status/1730898205301465299
Sat Dec 02 10:34:21 +0000 2023;1730898190050975850;"Plisss...@jokowi jangan diganggu balihonya Ganjar Pranowo-mahfud GassssssPollll.🙏🙏🙏🙏 https://t.co/P3bsVWqy2a";0;0;0;0;in;1440086803856478208;1730898190050975850;dhedhote1978;https://twitter.com/dhedhote1978/status/1730898190050975850
Sat Dec 02 10:34:15 +0000 2023;1730898162087514138;"Pak Ganjar, inisiatif Anda membawa angin segar untuk pariwisata daerah. Semoga terwujud dengan sukses! @rrrzzk  GPMMD 4Ende https://t.co/3IJrJFSSr1";0;0;0;0;in;1691010222012366849;1730898162087514138;windahadindaa;https://twitter.com/windahadindaa/status/1730898162087514138
Sat Dec 02 10:34:09 +0000 2023;1730898139367067703;"@abu_waras Dia masuk timses Ganjar kan ?";0;0;0;0;in;1563100823596703746;1730896498194554967;rumbai72;https://twitter.com/rumbai72/status/1730898139367067703
Sat Dec 02 10:34:08 +0000 2023;1730898135726404031;"@sibayan60 @Ganjar_Mahfud03 @Gus_Raharjo Gk perlu nuntut...dan bukan kapasitas gwe .  Cukup gk percaya ajj sama GANJAR ...itu pn buy gwe .";0;0;0;0;in;1580291944324141056;1730592596576424227;lahedom99;https://twitter.com/lahedom99/status/1730898135726404031
Sat Dec 02 10:34:07 +0000 2023;1730898131662061871;"Reverse Psycholigy sih pak... kebetulan di repost fans Anies..Lalu di spin Gelandangan2 Politik sok Iye yg dua bulan lalu glorifikasi Ganjar setelah 2 kali jd pecundang krn dukung Prabowo 2014, 2019, sekarang balik lg pilih Prabowo krn ada Gibran dan dipikir menang 🤣🤣🤣😅😂😂";0;1;0;0;in;155163474;1730898131662061871;antonchriss;https://twitter.com/antonchriss/status/1730898131662061871
Sat Dec 02 10:34:07 +0000 2023;1730898128914796611;"@Duren___ @RonnyYulianto13 Kok bukan solusi???.....bongkar aja semuanya...jangan nanti jadi bola liar seperti yg di katakan anggota DPR.....kenapa harus takut....apa Krn ada nama Ganjar di kasus E-KTP https://t.co/KluLTZz5Zz";0;0;0;0;in;1349275813762322433;1730856062541316294;SerigalaHorny;https://twitter.com/SerigalaHorny/status/1730898128914796611
